Date_evenement;Total_Deces2020;Total_Deces2019;Total_Deces2018
01/03/2020;1782;1872;2136
02/03/2020;3567;3782;4327
03/03/2020;5340;5530;6455
04/03/2020;7155;7410;8545
05/03/2020;8935;9278;10746
06/03/2020;10782;11148;12904
07/03/2020;12476;13007;14958
08/03/2020;14189;14808;17064
09/03/2020;16019;16582;19112
10/03/2020;17855;18250;21198
11/03/2020;19765;20016;23140
12/03/2020;21570;21722;25187
13/03/2020;23361;23413;27167
14/03/2020;25149;25131;29094
15/03/2020;27009;26877;30992
16/03/2020;29012;28597;32899
17/03/2020;31066;30232;34739
18/03/2020;33079;31989;36530
19/03/2020;35208;33673;38353
20/03/2020;37260;35335;40145
21/03/2020;39206;37036;42047
22/03/2020;41222;38724;43940
23/03/2020;43395;40422;45766
24/03/2020;45573;42051;47651
25/03/2020;47917;43716;49468
26/03/2020;50307;45341;51321
27/03/2020;52738;47027;53181
28/03/2020;55269;48717;55008
29/03/2020;57665;50381;56835
30/03/2020;60354;52018;58638
31/03/2020;63109;53637;60406
01/04/2020;65918;55326;62187
02/04/2020;68575;57027;63902
03/04/2020;71350;58713;65753
04/04/2020;74050;60381;67508
05/04/2020;76742;62044;69270
06/04/2020;79463;63693;71001
07/04/2020;82122;65368;72741
08/04/2020;84723;67032;74457
09/04/2020;87242;68654;76192
10/04/2020;89833;70321;77996
11/04/2020;92275;71928;79702
12/04/2020;94543;73551;81436
13/04/2020;96922;75106;83106
14/04/2020;99265;76625;84722
15/04/2020;101523;78249;86389
16/04/2020;103711;79916;88081
17/04/2020;106033;81643;89723
18/04/2020;108186;83257;91371
19/04/2020;110207;84936;93117
20/04/2020;112114;86612;94879
21/04/2020;114033;88177;96634
22/04/2020;115938;89836;98212
23/04/2020;117830;91522;99813
24/04/2020;119697;93265;101417
25/04/2020;121531;94909;102994
26/04/2020;123254;96530;104551
27/04/2020;124941;98092;106119
28/04/2020;126700;99681;107702
29/04/2020;128400;101235;109276
30/04/2020;130036;102792;110838
01/05/2020;131575;104452;112322
02/05/2020;133197;106094;113904
03/05/2020;134780;107687;115373
04/05/2020;136479;109274;117013
05/05/2020;138134;110783;118616
06/05/2020;139757;112466;120195
07/05/2020;141363;114104;121784
08/05/2020;142975;115701;123336
09/05/2020;144514;117294;124866
10/05/2020;146088;118962;126301
11/05/2020;147613;120487;127872
12/05/2020;149181;122055;129384
13/05/2020;150783;123592;130778
14/05/2020;152332;125198;132253
15/05/2020;153981;126814;133739
16/05/2020;155569;128427;135279
17/05/2020;157092;130055;136830
18/05/2020;158713;131686;138405
19/05/2020;160413;133256;139923
20/05/2020;162102;134901;141456
21/05/2020;163833;136484;143009
22/05/2020;165519;138039;144548
23/05/2020;167088;139697;146156
24/05/2020;168458;141345;147745
25/05/2020;169990;142852;149309
