pays;pop-millions;densite-moy-hab-par-km2
Allemagne;83,5;40
Autriche;9;109
Belgique;11,5;381
Biélorussie;9,5;47
Bulgarie;7;64
Croatie;4,1;74
Danemark;5,8;136
Espagne;46,7;94
Estonie;1,3;31
Finlande;5,5;18
France;65,1;119
Grèce;10,5;81
Hongrie;9,7;107
Irlande;4,9;71
Italie;60,6;206
Lettonie;1,9;31
Lituanie;2,8;44
Luxembourg;0,6;238
Malte;0,4;1376
Moldavie;4;123
Norvège;5,4;15
Pays-Bas;17,1;507
Pologne;37,9;124
Portugal;10,2;112
Rép. tchèque;10,7;138
Roumanie;19,4;84
Royaume-Uni;67,5;279
Russie;145,9;9
Serbie;8,8;100
Slovaquie;5,5;113
Slovénie;2,1;103
 Suède;10;24
Suisse;8,6;217
Ukraine;44;76
Angola;31,8;26
Afrique du Sud;58,6;48
Algérie;43,1;18
Côte-d'Ivoire;25,7;81
Égypte;100,4;101
Éthiopie;112,1;112
Ghana;30,4;134
Kenya;52,6;92
Madagascar;27;46
Maroc;36,5;82
Mozambique;30,4;39
Niger;23,3;18
Nigéria;201;221
Ouganda;44,3;222
Rép. dém. du Congo;86,8;38
Sénégal;16,3;85
Soudan;42,8;24
Tanzanie;58;65
Tunisie;11,7;75
Canada;37,4;4
États-Unis;329,1;36
Argentine;44,8;16
Brésil;211;25
Chili;19;25
Colombie;50,3;45
Cuba;11,3;106
Équateur;17,4;70
Guatemala;17,6;164
Mexique;127,6;66
Pérou;32,5;25
Venezuela;28,5;32
Afghanistan;38;58
Arabie saoudite;34,3;16
Bangladesh;163;1253
Chine3;1433,8;153
Corée du Nord;25,7;213
Corée du Sud;51,2;527
Inde;1366,4;460
Indonésie;270,6;149
Irak;39,3;91
Iran;82,9;51
Japon;126,9;348
Malaisie;31,9;97
Myanmar (Birmanie);54;83
Népal;28,6;200
Ouzbékistan;33;78
Pakistan;216,6;281
Philippines;108,1;363
Syrie;17,1;93
Thaïlande;69,6;136
Turquie;83,4;108
Viet Nam;96,5;311
Australie;25,2;3
